0  AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
54  1.24  1.31 131.29 165.03 161.36 5.89 37.3 0.485 0.0 23.9  64 -0.01
55  3.34  2.35 132.90543 944 301.55 1.87 71.07 0.542 0.21 29.0  38 0.36
56  2.78  1.98 137.327 2171 1002 3.5 39.24 0.525 0.01 1.2  110 -0.01
57  2.74  1.69 138.9055 3730.0 1193 6.7 20.73 0.824 1.13 8.97  142 0.14
58  2.70  1.65 140.115 3699 1071 6.78 20.67 0.484 0.0 0.63  -0.01 0.11
59  2.67  1.65 140.90765 3785 1204 6.77 20.8 0.445 0.016 11.5  -0.01 0.13
60  2.64  1.64 144.24 3341 1289 7.00 20.6 0.769 11. 50.5  -0.01 0.16
61  2.62  1.63 145 3785 1204 6.475 22.39 1.26 1.3 168.4  -0.01 -0.01
62  2.59  1.62 150.36 2064 1345 7.54 19.95 0.42 50. 5670.  -0.01 0.13
63  2.56  1.85 151.965 1870.0 1090.0 5.26 28.9 0.668 2.2 4600.  -0.01 -0.01
64  2.54  1.61 157.25 3539 1585 7.89 19.9 0.95 158.0 48890.  200 0.11
65  2.51  1.59 158.92534 3496 1630.0 8.27 19.2 0.738 0.004 23.4  -0.01 0.11
66  2.49  1.59 162.50 2835 1682 8.54 19.0 1.69 54.5 940.  210 0.11
67  2.47  1.58 164.93032 2968 1743 8.80 18.7 0.808 0.36 64.7  -0.01 0.16
68  2.45  1.57 167.26 3136 1795 9.05 18.4 0.803 1.2 159.2  -0.01 0.14
69  2.42  1.56 168.93421 2220.0 1818 9.33 18.1 0.705 0.41 105.  -0.01 0.17
70  2.40  1.74 173.04 1467 1097 6.98 24.79 1.24 3.0 35.1  120 0.35
71  2.25  1.56 174.967 3668 1936 9.84 17.78 0.73 0.1 76.4  210 0.16
72  2.16  1.44 178.49 4876 2500.0 13.1 13.6 0.777 2.6 104.1  252 0.23
73  2.09  1.34 180.9479 5731 3287 16.6 10.90 0.691 0.02 20.6  240 0.58
74  2.02  1.30 183.85 5828 3680.0 19.3 9.53 0.477 2.00 18.4  400 1.74
75  1.97  1.28 186.207 5869 3453 21.0 8.85 0.92 0.9 90.7  430 0.48
76  1.92  1.26 190.2 5285 3300.0 22.4 8.49 1.10 0.4 16.0  500 0.88
77  1.87  1.27 192.22 4701 2716 22.5 8.54 1.06 0.2 425.3  420 1.47
78  1.83  1.30 195.08 4100.0 2045 21.4 9.10 0.963 0.13 10.3  240 0.72
79  1.79  1.34 196.96654 3130.0 1337.58 19.3 10.2 0.763 0.36 98.65  165 3.17
80  1.76  1.49 200.59 630.0 234.28 13.53 14.82 1.266 6.7 372.3  71.9 -0.01
81  2.08  1.48 204.3833 1746 577 11.85 17.2 0.8785 0.14 3.43  78.5 0.46
82  1.81  1.47 207.2 2023 600.6 11.4 18.17 0.94003 0.003 0.171  105 0.35
83  1.63  1.46 208.98037 1837 544.52 9.8 21.3 0.85256 0.0072 0.0338  119 0.08
84  1.53  1.46 209 1235 527 9.4 22.23 -0.01 -0.01 -0.01  -0.01 -0.01
85  1.43  1.45 210.0 610.0 575 -0.01 -0.01 -0.01 -0.01 -0.01  -0.01 -0.01
86  1.34  1.43 222 211 202 9.91 50.5 -0.01 -0.01 -0.01  64 -0.01
87  3.50  2.50 223 950.0 300.0 -0.01 -0.01 0.8495 0.0072 0.036  -0.01 -0.01
88  3.00  2.40 226.025 1809 973 5 45.20 1.0 0.0 12.8  -0.01 -0.01
89  3.20  2.20 227.028 3473 1323 10.07 22.54 -0.01 -0.01 -0.01  -0.01 -0.01
90  3.16  1.65 232.0381 5061 2028 11.7 19.9 0.984 0.0 7.37  163 0.54
91  3.14  -0.01 231.03588 -0.01 -0.01 15.4 15.0 0.91 0.0 200.6  -0.01 -0.01
92  3.11  1.42 238.0289 4407 1405 18.90 12.59 0.8417 0.004 7.57  207 0.28
